name,points,position,price
Hawkins,44,FWD,11.5
Ward,36,FWD,11.0
Irving,34,FWD,10.5
Greenwood,8,FWD,7.5
Rizzgerald,22,FWD,9.0
Mapsy,26,FWD,9.5
Kaya,15,FWD,8.5
Dubbeldum,4,FWD,7.0
Hugo,9,FWD,7.5
Long,2,FWD,7.0
Herbert,6,FWD,7.5
Rick,2,FWD,7.0
Hagler,34,FWD,10.5
Coore,2,FWD,7.0
Jennings,7,FWD,7.5
Brothwell,2,FWD,7.0
Caston,0,FWD,6.5
Mccullen,48,FWD,12.0
Nayak,2,FWD,7.0
Rodgers,2,FWD,7.0
Boal,58,FWD,12.5
Yu,2,FWD,7.0
Beckett,35,MID,10.5
Gabe,12,MID,8.0
Teva,23,MID,9.0
Fernandes,0,MID,6.5
Fautero-Sayer,21,MID,9.0
Kit,10,MID,7.5
Hope,23,MID,9.0
Hoare,13,MID,8.0
Yates,9,MID,7.5
Freddie,21,MID,9.0
Jott Scones,13,MID,8.0
Scott Jones,13,MID,8.0
Kwabs,11,MID,7.5
Mukhtar,14,MID,8.0
Theo,21,MID,9.0
Howard,8,MID,7.5
Lawson,29,MID,9.5
Nolan,11,MID,7.5
Zeka,0,MID,6.5
Browne,15,MID,8.0
Bazin,7,MID,7.0
Ballard,11,MID,7.5
Cheung,6,MID,7.0
Swindells,28,MID,9.5
Tuck,7,MID,7.0
Arrick,4,MID,7.0
Walton,0,MID,6.5
J.Irving,22,MID,9.0
Quinn,66,DEF,12.0
Yuzgin,32,DEF,8.0
Hall,8,DEF,6.5
Kelly,8,DEF,6.5
Schofield,26,DEF,7.5
JJ,10,DEF,6.5
Fishpool,15,DEF,7.0
Bryant,0,DEF,6.0
Kacsper,14,DEF,6.5
Taylor,0,DEF,6.0
Joris,10,DEF,6.5
Creed,6,DEF,6.5
Giles,10,DEF,6.5
Reid,28,DEF,8.0
Reidy,0,DEF,6.0
Wilson,18,DEF,7.0
Floyd,10,DEF,6.5
Kazim,29,GK,7.5
Soltysiak,10,DEF,6.5
Guy,14,DEF,6.5
Quirke,6,DEF,6.0
Berendji,8,DEF,6.5
Allen,0,DEF,6.0
Gawthorpe,4,DEF,6.0
North,16,DEF,7.0
Jones,18,DEF,7.0
Vinnie,0,DEF,6.0
Cayley,20,DEF,7.0
Tranter,2,DEF,6.0
Hudson,14,GK,6.5
Arlo,11,GK,6.5
Wilkinson,22,GK,7.0
Cian,12,GK,6.5
Jack Mac,18,GK,7.0
Rogers,4,FWD,7.0
Elliot,22,DEF,7.0
Tsun,10,DEF,6.5
Tinsley,6,DEF,6.0
Griffin,4,DEF,6.0
Wingsutton,13,MID,8.0
Letam,4,DEF,6.0
Rooms,2,DEF,6.0
Okome,2,FWD,7.0
Li Chen,4,DEF,6.0
Nash,4,DEF,6.0
P. Quirky,4,DEF,6.0
Wilmott,5,MID,7.0
Hamzah,2,DEF,6.0
Ed Hill,4,DEF,6.0
